Player,Club,POS,RACE,Red Cards,,,,,
Abdoulie Mansally,HOU,D,B,1,,,,,
Alberto Quintero,SJ,M,B,1,,,,,
Alex Lima,HOU,M,B,1,,,,,
Ambroise Oyongo,MTL,D,B,1,,,,,
Anibal Godoy,SJ,M,B,2,,,,,
Antonio Nocerino,ORL,M,W,1,,,,,
Ashley Cole,LA,D,B,2,,,,,
Aurelien Collin,NY,D,W,1,,,,,
Benoit Cheyrou,TOR,M,W,1,,,,,
Brad Evans,SEA,D,W,2,,,,,
Calum Mallace,MTL,M,W,1,,,,,
Chris Duvall,NY,D,B,1,,,,,
Clint Dempsey,SEA,M,W,1,,,,,
Conor Casey,CLB,F,W,1,,,,,
Cristian Higuita,ORL,M,B,1,,,,,
Dairon Asprilla,POR,F,B,1,,,,,
Darwin Ceren,SJ,M,B,1,,,,,
David Mateos,ORL,D,W,1,,,,,
Demar Phillips,RSL,D,B,1,,,,,
Didier Drogba,MTL,F,B,1,,,,,
Diego Chara,POR,M,B,1,,,,,
Diego Valeri,POR,M,W,1,,,,,
Eric Miller,COL,D,W,1,,,,,
Ethan White,NYC,D,B,1,,,,,
Federico Bravo,NYC,M,W,1,,,,,
Felipe Martins,NY,M,W,1,,,,,
Fraser Aird,VAN,D,W,1,,,,,
Gershon Koffie,NE,M,B,1,,,,,
Gonzalo Veron,NY,M,W,1,,,,,
Harrison Afful,CLB,D,B,1,,,,,
Ike Opara,SKC,D,B,1,,,,,
Ilson Pereira,PHI,M,W,1,,,,,
Jamison Olave,RSL,D,B,1,,,,,
Jason Hernandez,NYC,D,B,1,,,,,
Je-Vaughn Watson,NE,D,B,1,,,,,
Jimmy Medranda,SKC,M,B,1,,,,,
Jordan Smith,VAN,D,B,1,,,,,
Josh Williams,TOR,D,W,1,,,,,
Joshua Yaro,PHI,D,B,2,,,,,
Kendall Waston,VAN,D,B,3,,,,,
Khaly Thiam,CHI,M,B,1,,,,,
Kofi Opare,DC,D,B,2,,,,,
Kyle Beckerman,RSL,M,W,1,,,,,
Luis Solignac,CHI,F,W,1,,,,,
Marcelo Sarvas,DC,M,W,1,,,,,0
Matias Laba,VAN,M,W,1,,,,,
Maxime Chanot,NYC,D,W,1,,,,,
Maynor Figueroa,DAL,D,B,1,,,,,
Michael Harrington,CHI,D,W,1,,,,,
Michael Parkhurst,ATL,D,W,1,,,,,
Micheal Azira,COL,M,B,1,,,,,
Nigel de Jong,LA,M,B,1,,,,,
Oniel Fisher,SEA,M,B,1,,,,,
Osvaldo Alonso,SEA,M,W,1,,,,,
Pedro Morales,VAN,M,W,2,,,,,
Roger Espinoza,SKC,M,W,2,,,,,
Roland Alberg,PHI,M,B,1,,,,,
Simon Dawkins,SJ,M,B,1,,,,,
Soni Mustivar,SKC,M,B,1,,,,,
Tony Tchani,CLB,M,B,1,,,,,
Tosaint Ricketts,TOR,F,B,1,,,,,
Tyson Wahl,CLB,D,W,1,,,,,
Warren Creavalle,PHI,M,B,1,,,,,